"[$(O([CX4,c])!@[CH,CH2]!@O[CX4,c])]",acetal,
C(=O)Cl,acid chloride,
"[$(C#N),$([C,N,S]=O)][CH2,CH][$([C,N,S]=O),$(C#N)]",acidic ch,
"C(=O)[Cl,Br]",acyl halide,
[CX4][OH],alcohol,
[CX4;H2][OH],primary alcohol,
[CX4;H][OH] ,secondary alcohol,
[CX4;H0][OH],tertiary alcohol,
"[$([CX3]);!$(CC=[O,S,N]);!$(C[O,S,N])]=[$([CX3]);!$(CC=[O,S,N]);!$(C[O,S,N])]",alkene,
"[CX4][Cl,Br,I]",general alkyl halide,
C#C,alkyne,
[CX2H0]#[CX2H0],substituted alkyne,
[CX2H0]#[CX2H1],terminal alkyne,
"[Cl,Br,I][CH]C=C",allyl halide,
cCC(=O)[OH],alpha aryl carboxylic acid,
"C([Cl,Br,I])([Cl,Br,I])([Cl,Br,I])C(=O)[OH]",alpha trihalogen carboxylic acid,
[#6]C(=O)C(=O)[OH],alpha keto carboxylic acid,
C=CC(=O)[OH],alpha beta unsaturated carboxylic acid,
N#C-C(=O)[OH],alpha cyano carboxylic acid,
N(~O)(~O)-C-C(=O)[OH],alpha nitro carboxylic acid,
"[ND3]([CX4,c,H])([CX4,c,H])[CX4][$([CH]),$(C([CX4,c]))]=O",alpha amino ketone or aldehyde,
"[OH][CX4][$([CH]),$(C([CX4,c]))]=O",alpha hydroxy ketone or aldehyde,
"[$([CX3]);!$(CC=[O,S,N]);!$(C[O,S,N])]=C-[$([CH]),$(C([CX4,c]))]=O",alpha beta ketone or aldehyde,
"[$([CX3]);!$(CC=[O,S,N]);!$(C[O,S,N])]=C-C#N",alpha beta nitrile,
"[OH][CX4][Cl,Br,I]",alpha halogen hydroxy,
"[Cl,Br,I][$([CX4][CH]=O),$([CX4]C(=O)[CX4,c])]",alpha halogen ketone or aldehyde,
"[OH][CX4][$([NH2]),$([NH][CX4]),$(N([CX4])[CX4])]",alpha amino hydroxy,
"O=C([c,CX4])[$([NH2]),$([NH][c,CX4]),$(N([c,CX4])[c,CX4])]",amide,
"[$([NH2][CX4]),$([$([NH]([CX4])[CX4]);!$([NH]([CX4])[CX4][O,N]);!$([NH]([CX4])[CX4][O,N])]),$([ND3]([CX4])([CX4])[CX4])]",general amine,
"[$([NH2]),$([NH][c,CX4]),$(N([c,CX4])[c,CX4]);!$(NC=O)][CX4]C(=O)[OH]",amino acid,
O(C(=O)[#6])(C(=O)[#6]),anhydride,
c[NH2],aniline,
c-[ND3]([#6])[#6],aniline disubstituted,
c-[NH1][#6],aniline monosubstituted,
c,aromatic,
"c-[F,Cl,Br,I]",aryl_halide,
"c-[Br,I]",aryl heavy halide,
"Fcaa[F,Cl,Br,I,$([C,N,S]=O)]",active aryl fluoride,
cB([OH])[OH],aryl_boronate,
"[N;D2]([C,c;!$(C=[O,S,N])])=[N;D2]-[C,c;!$(C=[O,S,N])]",azo,
"[OH][CX4][CX4][Cl,Br,I]",beta halogen hydroxyl,
"[OH][CX4][CX4][$([NH2]),$([NH][CX4]),$(N([CX4])[CX4])]",beta amino hydroxyl,
